word_class,english,article,german,past_tense,perfect_tense,plural
noun,woman,die,Frau,,,Frauen
noun,child,das,Kind,,,Kinder
noun,chair,der,Stuhl,,,Stühle
noun,table,der,Tisch,,,Tische
noun,man,der,Mann,,,Männer
noun,man,der,Mann,,,Männer
noun,table,der,Tisch,,,Tische
noun,chair,der,Stuhl,,,Stühle
noun,man,der,Mann,,,Männer
noun,dog,der,Hund,,,Hunde
noun,chair,der,Stuhl,,,Stühle
noun,man,der,Mann,,,Männer
noun,man,der,Mann,,,Männer
verb,to write,,schreiben,schrieb,hat geschrieben,
verb,to sleep,,schlafen,schlief,hat geschlafen,
verb,to live,,leben,lebte,hat gelebt,
verb,to run,,laufen,lief,ist gelaufen,
verb,to read,,lesen,las,hat gelesen,
verb,to work,,arbeiten,arbeitete,hat gearbeitet,
verb,to love,,lieben,liebte,hat geliebt,
verb,to write,,schreiben,schrieb,hat geschrieben,
verb,to sleep,,schlafen,schlief,hat geschlafen,
verb,to read,,lesen,las,hat gelesen,
verb,to work,,arbeiten,arbeitete,hat gearbeitet,
verb,to love,,lieben,liebte,hat geliebt,
verb,to live,,leben,lebte,hat gelebt,
verb,to sleep,,schlafen,schlief,hat geschlafen,
verb,to speak,,sprechen,sprach,hat gesprochen,
verb,to speak,,sprechen,sprach,hat gesprochen,
verb,to write,,schreiben,schrieb,hat geschrieben,
verb,to speak,,sprechen,sprach,hat gesprochen,
verb,to work,,arbeiten,arbeitete,hat gearbeitet,
verb,to read,,lesen,las,hat gelesen,
verb,to sleep,,schlafen,schlief,hat geschlafen,
verb,to read,,lesen,las,hat gelesen,
verb,to write,,schreiben,schrieb,hat geschrieben,
verb,to buy,,kaufen,kaufte,hat gekauft,
verb,to buy,,kaufen,kaufte,hat gekauft,
verb,to speak,,sprechen,sprach,hat gesprochen,
verb,to love,,lieben,liebte,hat geliebt,
verb,to love,,lieben,liebte,hat geliebt,
verb,to speak,,sprechen,sprach,hat gesprochen,
verb,to buy,,kaufen,kaufte,hat gekauft,
verb,to run,,laufen,lief,ist gelaufen,
verb,to work,,arbeiten,arbeitete,hat gearbeitet,
verb,to love,,lieben,liebte,hat geliebt,
verb,to buy,,kaufen,kaufte,hat gekauft,
verb,to write,,schreiben,schrieb,hat geschrieben,
verb,to read,,lesen,las,hat gelesen,
verb,to speak,,sprechen,sprach,hat gesprochen,
verb,to drink,,trinken,trank,hat getrunken,
verb,to speak,,sprechen,sprach,hat gesprochen,
verb,to read,,lesen,las,hat gelesen,
verb,to buy,,kaufen,kaufte,hat gekauft,
verb,to read,,lesen,las,hat gelesen,
verb,to write,,schreiben,schrieb,hat geschrieben,
verb,to drink,,trinken,trank,hat getrunken,
verb,to speak,,sprechen,sprach,hat gesprochen,
verb,to speak,,sprechen,sprach,hat gesprochen,
verb,to love,,lieben,liebte,hat geliebt,
verb,to sleep,,schlafen,schlief,hat geschlafen,
verb,to drink,,trinken,trank,hat getrunken,
verb,to work,,arbeiten,arbeitete,hat gearbeitet,
verb,to read,,lesen,las,hat gelesen,
verb,to read,,lesen,las,hat gelesen,
verb,to live,,leben,lebte,hat gelebt,
verb,to love,,lieben,liebte,hat geliebt,
verb,to read,,lesen,las,hat gelesen,
verb,to work,,arbeiten,arbeitete,hat gearbeitet,
verb,to speak,,sprechen,sprach,hat gesprochen,
verb,to sleep,,schlafen,schlief,hat geschlafen,
verb,to live,,leben,lebte,hat gelebt,
verb,to speak,,sprechen,sprach,hat gesprochen,
verb,to drink,,trinken,trank,hat getrunken,
verb,to run,,laufen,lief,ist gelaufen,
verb,to buy,,kaufen,kaufte,hat gekauft,
verb,to buy,,kaufen,kaufte,hat gekauft,
verb,to love,,lieben,liebte,hat geliebt,
verb,to live,,leben,lebte,hat gelebt,
verb,to run,,laufen,lief,ist gelaufen,
verb,to live,,leben,lebte,hat gelebt,
verb,to buy,,kaufen,kaufte,hat gekauft,
verb,to love,,lieben,liebte,hat geliebt,
verb,to write,,schreiben,schrieb,hat geschrieben,
verb,to sleep,,schlafen,schlief,hat geschlafen,
verb,to run,,laufen,lief,ist gelaufen,
verb,to work,,arbeiten,arbeitete,hat gearbeitet,
verb,to run,,laufen,lief,ist gelaufen,
verb,to write,,schreiben,schrieb,hat geschrieben,
verb,to buy,,kaufen,kaufte,hat gekauft,
verb,to read,,lesen,las,hat gelesen,
verb,to speak,,sprechen,sprach,hat gesprochen,
verb,to speak,,sprechen,sprach,hat gesprochen,
verb,to read,,lesen,las,hat gelesen,
verb,to buy,,kaufen,kaufte,hat gekauft,
verb,to love,,lieben,liebte,hat geliebt,
verb,to work,,arbeiten,arbeitete,hat gearbeitet,
verb,to work,,arbeiten,arbeitete,hat gearbeitet,
verb,to run,,laufen,lief,ist gelaufen,
verb,to write,,schreiben,schrieb,hat geschrieben,
verb,to love,,lieben,liebte,hat geliebt,
verb,to live,,leben,lebte,hat gelebt,
verb,to speak,,sprechen,sprach,hat gesprochen,
verb,to read,,lesen,las,hat gelesen,
verb,to run,,laufen,lief,ist gelaufen,
verb,to live,,leben,lebte,hat gelebt,
verb,to sleep,,schlafen,schlief,hat geschlafen,
verb,to run,,laufen,lief,ist gelaufen,
verb,to work,,arbeiten,arbeitete,hat gearbeitet,
verb,to sleep,,schlafen,schlief,hat geschlafen,
verb,to live,,leben,lebte,hat gelebt,
verb,to work,,arbeiten,arbeitete,hat gearbeitet,
verb,to drink,,trinken,trank,hat getrunken,
verb,to speak,,sprechen,sprach,hat gesprochen,
verb,to love,,lieben,liebte,hat geliebt,
verb,to love,,lieben,liebte,hat geliebt,
verb,to work,,arbeiten,arbeitete,hat gearbeitet,
verb,to speak,,sprechen,sprach,hat gesprochen,
verb,to read,,lesen,las,hat gelesen,
verb,to work,,arbeiten,arbeitete,hat gearbeitet,
verb,to sleep,,schlafen,schlief,hat geschlafen,
verb,to write,,schreiben,schrieb,hat geschrieben,
verb,to speak,,sprechen,sprach,hat gesprochen,
verb,to read,,lesen,las,hat gelesen,
verb,to work,,arbeiten,arbeitete,hat gearbeitet,
verb,to love,,lieben,liebte,hat geliebt,
verb,to buy,,kaufen,kaufte,hat gekauft,
verb,to read,,lesen,las,hat gelesen,
verb,to buy,,kaufen,kaufte,hat gekauft,
verb,to sleep,,schlafen,schlief,hat geschlafen,
verb,to sleep,,schlafen,schlief,hat geschlafen,
verb,to write,,schreiben,schrieb,hat geschrieben,
verb,to speak,,sprechen,sprach,hat gesprochen,
verb,to buy,,kaufen,kaufte,hat gekauft,
verb,to run,,laufen,lief,ist gelaufen,
verb,to sleep,,schlafen,schlief,hat geschlafen,
verb,to work,,arbeiten,arbeitete,hat gearbeitet,
verb,to live,,leben,lebte,hat gelebt,
verb,to buy,,kaufen,kaufte,hat gekauft,
verb,to run,,laufen,lief,ist gelaufen,
verb,to write,,schreiben,schrieb,hat geschrieben,
verb,to write,,schreiben,schrieb,hat geschrieben,
verb,to live,,leben,lebte,hat gelebt,
verb,to drink,,trinken,trank,hat getrunken,
verb,to run,,laufen,lief,ist gelaufen,
verb,to love,,lieben,liebte,hat geliebt,
verb,to run,,laufen,lief,ist gelaufen,
verb,to run,,laufen,lief,ist gelaufen,
verb,to live,,leben,lebte,hat gelebt,
verb,to love,,lieben,liebte,hat geliebt,
verb,to love,,lieben,liebte,hat geliebt,
verb,to drink,,trinken,trank,hat getrunken,
verb,to sleep,,schlafen,schlief,hat geschlafen,
verb,to read,,lesen,las,hat gelesen,
verb,to speak,,sprechen,sprach,hat gesprochen,
verb,to read,,lesen,las,hat gelesen,
verb,to buy,,kaufen,kaufte,hat gekauft,
verb,to read,,lesen,las,hat gelesen,
verb,to live,,leben,lebte,hat gelebt,
verb,to buy,,kaufen,kaufte,hat gekauft,
verb,to read,,lesen,las,hat gelesen,
verb,to drink,,trinken,trank,hat getrunken,
verb,to speak,,sprechen,sprach,hat gesprochen,
verb,to sleep,,schlafen,schlief,hat geschlafen,
verb,to read,,lesen,las,hat gelesen,
verb,to work,,arbeiten,arbeitete,hat gearbeitet,
verb,to read,,lesen,las,hat gelesen,
verb,to run,,laufen,lief,ist gelaufen,
verb,to speak,,sprechen,sprach,hat gesprochen,
verb,to write,,schreiben,schrieb,hat geschrieben,
verb,to speak,,sprechen,sprach,hat gesprochen,
verb,to sleep,,schlafen,schlief,hat geschlafen,
verb,to work,,arbeiten,arbeitete,hat gearbeitet,
verb,to buy,,kaufen,kaufte,hat gekauft,
verb,to love,,lieben,liebte,hat geliebt,
verb,to drink,,trinken,trank,hat getrunken,
verb,to sleep,,schlafen,schlief,hat geschlafen,
verb,to work,,arbeiten,arbeitete,hat gearbeitet,
verb,to buy,,kaufen,kaufte,hat gekauft,
verb,to run,,laufen,lief,ist gelaufen,
verb,to write,,schreiben,schrieb,hat geschrieben,
verb,to live,,leben,lebte,hat gelebt,
verb,to write,,schreiben,schrieb,hat geschrieben,
verb,to live,,leben,lebte,hat gelebt,
verb,to buy,,kaufen,kaufte,hat gekauft,
verb,to speak,,sprechen,sprach,hat gesprochen,
verb,to speak,,sprechen,sprach,hat gesprochen,
verb,to write,,schreiben,schrieb,hat geschrieben,
verb,to live,,leben,lebte,hat gelebt,
verb,to run,,laufen,lief,ist gelaufen,
verb,to read,,lesen,las,hat gelesen,
verb,to read,,lesen,las,hat gelesen,
verb,to work,,arbeiten,arbeitete,hat gearbeitet,
verb,to read,,lesen,las,hat gelesen,
verb,to drink,,trinken,trank,hat getrunken,
verb,to buy,,kaufen,kaufte,hat gekauft,
verb,to drink,,trinken,trank,hat getrunken,
verb,to run,,laufen,lief,ist gelaufen,
verb,to speak,,sprechen,sprach,hat gesprochen,
verb,to run,,laufen,lief,ist gelaufen,
verb,to sleep,,schlafen,schlief,hat geschlafen,
verb,to write,,schreiben,schrieb,hat geschrieben,
verb,to write,,schreiben,schrieb,hat geschrieben,
verb,to read,,lesen,las,hat gelesen,
verb,to write,,schreiben,schrieb,hat geschrieben,
verb,to write,,schreiben,schrieb,hat geschrieben,
verb,to read,,lesen,las,hat gelesen,
verb,to run,,laufen,lief,ist gelaufen,
verb,to live,,leben,lebte,hat gelebt,
verb,to work,,arbeiten,arbeitete,hat gearbeitet,
verb,to sleep,,schlafen,schlief,hat geschlafen,
verb,to write,,schreiben,schrieb,hat geschrieben,
verb,to sleep,,schlafen,schlief,hat geschlafen,
verb,to buy,,kaufen,kaufte,hat gekauft,
verb,to read,,lesen,las,hat gelesen,
verb,to drink,,trinken,trank,hat getrunken,
verb,to love,,lieben,liebte,hat geliebt,
verb,to speak,,sprechen,sprach,hat gesprochen,
verb,to buy,,kaufen,kaufte,hat gekauft,
verb,to speak,,sprechen,sprach,hat gesprochen,
verb,to read,,lesen,las,hat gelesen,
verb,to read,,lesen,las,hat gelesen,
verb,to speak,,sprechen,sprach,hat gesprochen,
verb,to work,,arbeiten,arbeitete,hat gearbeitet,
verb,to live,,leben,lebte,hat gelebt,
verb,to speak,,sprechen,sprach,hat gesprochen,
verb,to write,,schreiben,schrieb,hat geschrieben,
verb,to buy,,kaufen,kaufte,hat gekauft,
verb,to love,,lieben,liebte,hat geliebt,
verb,to read,,lesen,las,hat gelesen,
verb,to write,,schreiben,schrieb,hat geschrieben,
verb,to write,,schreiben,schrieb,hat geschrieben,
verb,to write,,schreiben,schrieb,hat geschrieben,
verb,to buy,,kaufen,kaufte,hat gekauft,
verb,to run,,laufen,lief,ist gelaufen,
verb,to drink,,trinken,trank,hat getrunken,
verb,to run,,laufen,lief,ist gelaufen,
verb,to work,,arbeiten,arbeitete,hat gearbeitet,
verb,to write,,schreiben,schrieb,hat geschrieben,
verb,to work,,arbeiten,arbeitete,hat gearbeitet,
verb,to write,,schreiben,schrieb,hat geschrieben,
verb,to love,,lieben,liebte,hat geliebt,
verb,to love,,lieben,liebte,hat geliebt,
verb,to work,,arbeiten,arbeitete,hat gearbeitet,
verb,to drink,,trinken,trank,hat getrunken,
verb,to drink,,trinken,trank,hat getrunken,
verb,to run,,laufen,lief,ist gelaufen,
verb,to live,,leben,lebte,hat gelebt,
verb,to work,,arbeiten,arbeitete,hat gearbeitet,
verb,to write,,schreiben,schrieb,hat geschrieben,
verb,to read,,lesen,las,hat gelesen,
verb,to work,,arbeiten,arbeitete,hat gearbeitet,
verb,to speak,,sprechen,sprach,hat gesprochen,
verb,to speak,,sprechen,sprach,hat gesprochen,
verb,to read,,lesen,las,hat gelesen,
verb,to write,,schreiben,schrieb,hat geschrieben,
verb,to work,,arbeiten,arbeitete,hat gearbeitet,
verb,to work,,arbeiten,arbeitete,hat gearbeitet,
verb,to buy,,kaufen,kaufte,hat gekauft,
verb,to run,,laufen,lief,ist gelaufen,
verb,to sleep,,schlafen,schlief,hat geschlafen,
verb,to read,,lesen,las,hat gelesen,
verb,to write,,schreiben,schrieb,hat geschrieben,
verb,to run,,laufen,lief,ist gelaufen,
verb,to write,,schreiben,schrieb,hat geschrieben,
verb,to speak,,sprechen,sprach,hat gesprochen,
verb,to love,,lieben,liebte,hat geliebt,
verb,to speak,,sprechen,sprach,hat gesprochen,
verb,to work,,arbeiten,arbeitete,hat gearbeitet,
verb,to love,,lieben,liebte,hat geliebt,
verb,to write,,schreiben,schrieb,hat geschrieben,
verb,to work,,arbeiten,arbeitete,hat gearbeitet,
verb,to speak,,sprechen,sprach,hat gesprochen,
verb,to buy,,kaufen,kaufte,hat gekauft,
verb,to love,,lieben,liebte,hat geliebt,
verb,to work,,arbeiten,arbeitete,hat gearbeitet,
verb,to drink,,trinken,trank,hat getrunken,
verb,to write,,schreiben,schrieb,hat geschrieben,
verb,to drink,,trinken,trank,hat getrunken,
verb,to drink,,trinken,trank,hat getrunken,
verb,to read,,lesen,las,hat gelesen,
verb,to drink,,trinken,trank,hat getrunken,
verb,to write,,schreiben,schrieb,hat geschrieben,
verb,to read,,lesen,las,hat gelesen,
verb,to work,,arbeiten,arbeitete,hat gearbeitet,
verb,to drink,,trinken,trank,hat getrunken,
verb,to live,,leben,lebte,hat gelebt,
verb,to write,,schreiben,schrieb,hat geschrieben,
verb,to sleep,,schlafen,schlief,hat geschlafen,
verb,to drink,,trinken,trank,hat getrunken,
verb,to work,,arbeiten,arbeitete,hat gearbeitet,
verb,to sleep,,schlafen,schlief,hat geschlafen,
verb,to sleep,,schlafen,schlief,hat geschlafen,
verb,to love,,lieben,liebte,hat geliebt,
verb,to drink,,trinken,trank,hat getrunken,
verb,to love,,lieben,liebte,hat geliebt,
verb,to sleep,,schlafen,schlief,hat geschlafen,
verb,to buy,,kaufen,kaufte,hat gekauft,
verb,to love,,lieben,liebte,hat geliebt,
verb,to sleep,,schlafen,schlief,hat geschlafen,
verb,to write,,schreiben,schrieb,hat geschrieben,
verb,to love,,lieben,liebte,hat geliebt,
verb,to sleep,,schlafen,schlief,hat geschlafen,
verb,to work,,arbeiten,arbeitete,hat gearbeitet,
verb,to read,,lesen,las,hat gelesen,
verb,to love,,lieben,liebte,hat geliebt,
verb,to speak,,sprechen,sprach,hat gesprochen,
verb,to run,,laufen,lief,ist gelaufen,
verb,to run,,laufen,lief,ist gelaufen,
verb,to work,,arbeiten,arbeitete,hat gearbeitet,
verb,to drink,,trinken,trank,hat getrunken,
verb,to run,,laufen,lief,ist gelaufen,
verb,to buy,,kaufen,kaufte,hat gekauft,
verb,to speak,,sprechen,sprach,hat gesprochen,
verb,to write,,schreiben,schrieb,hat geschrieben,
