word_class,english,article,german,past_tense,perfect_tense,plural
noun,dog,der,Hund,-,-,die Hunde
noun,house,das,Haus,-,-,die Häuser
noun,woman,die,Frau,-,-,die Frauen
noun,book,das,Buch,-,-,die Bücher
noun,child,das,Kind,-,-,die Kinder
noun,dog,der,Hund,-,-,die Hunde
noun,house,das,Haus,-,-,die Häuser
noun,woman,die,Frau,-,-,die Frauen
noun,book,das,Buch,-,-,die Bücher
noun,child,das,Kind,-,-,die Kinder
noun,dog,der,Hund,-,-,die Hunde
noun,house,das,Haus,-,-,die Häuser
noun,woman,die,Frau,-,-,die Frauen
noun,book,das,Buch,-,-,die Bücher
noun,child,das,Kind,-,-,die Kinder
noun,dog,der,Hund,-,-,die Hunde
noun,house,das,Haus,-,-,die Häuser
noun,woman,die,Frau,-,-,die Frauen
noun,book,das,Buch,-,-,die Bücher
noun,child,das,Kind,-,-,die Kinder
noun,dog,der,Hund,-,-,die Hunde
noun,house,das,Haus,-,-,die Häuser
noun,woman,die,Frau,-,-,die Frauen
noun,book,das,Buch,-,-,die Bücher
noun,child,das,Kind,-,-,die Kinder
noun,dog,der,Hund,-,-,die Hunde
noun,house,das,Haus,-,-,die Häuser
noun,woman,die,Frau,-,-,die Frauen
noun,book,das,Buch,-,-,die Bücher
noun,child,das,Kind,-,-,die Kinder
noun,dog,der,Hund,-,-,die Hunde
noun,house,das,Haus,-,-,die Häuser
noun,woman,die,Frau,-,-,die Frauen
noun,book,das,Buch,-,-,die Bücher
noun,child,das,Kind,-,-,die Kinder
noun,dog,der,Hund,-,-,die Hunde
noun,house,das,Haus,-,-,die Häuser
noun,woman,die,Frau,-,-,die Frauen
noun,book,das,Buch,-,-,die Bücher
noun,child,das,Kind,-,-,die Kinder
noun,dog,der,Hund,-,-,die Hunde
noun,house,das,Haus,-,-,die Häuser
noun,woman,die,Frau,-,-,die Frauen
noun,book,das,Buch,-,-,die Bücher
noun,child,das,Kind,-,-,die Kinder
noun,dog,der,Hund,-,-,die Hunde
noun,house,das,Haus,-,-,die Häuser
noun,woman,die,Frau,-,-,die Frauen
noun,book,das,Buch,-,-,die Bücher
noun,child,das,Kind,-,-,die Kinder
noun,dog,der,Hund,-,-,die Hunde
noun,house,das,Haus,-,-,die Häuser
noun,woman,die,Frau,-,-,die Frauen
noun,book,das,Buch,-,-,die Bücher
noun,child,das,Kind,-,-,die Kinder
noun,dog,der,Hund,-,-,die Hunde
noun,house,das,Haus,-,-,die Häuser
noun,woman,die,Frau,-,-,die Frauen
noun,book,das,Buch,-,-,die Bücher
noun,child,das,Kind,-,-,die Kinder
noun,dog,der,Hund,-,-,die Hunde
noun,house,das,Haus,-,-,die Häuser
noun,woman,die,Frau,-,-,die Frauen
noun,book,das,Buch,-,-,die Bücher
noun,child,das,Kind,-,-,die Kinder
noun,dog,der,Hund,-,-,die Hunde
noun,house,das,Haus,-,-,die Häuser
noun,woman,die,Frau,-,-,die Frauen
noun,book,das,Buch,-,-,die Bücher
noun,child,das,Kind,-,-,die Kinder
verb,go,-,gehen,ging,ist gegangen,-
verb,eat,-,essen,aß,hat gegessen,-
verb,have,-,haben,hatte,hat gehabt,-
verb,see,-,sehen,sah,hat gesehen,-
verb,come,-,kommen,kam,ist gekommen,-
verb,go,-,gehen,ging,ist gegangen,-
verb,eat,-,essen,aß,hat gegessen,-
verb,have,-,haben,hatte,hat gehabt,-
verb,see,-,sehen,sah,hat gesehen,-
verb,come,-,kommen,kam,ist gekommen,-
verb,go,-,gehen,ging,ist gegangen,-
verb,eat,-,essen,aß,hat gegessen,-
verb,have,-,haben,hatte,hat gehabt,-
verb,see,-,sehen,sah,hat gesehen,-
verb,come,-,kommen,kam,ist gekommen,-
verb,go,-,gehen,ging,ist gegangen,-
verb,eat,-,essen,aß,hat gegessen,-
verb,have,-,haben,hatte,hat gehabt,-
verb,see,-,sehen,sah,hat gesehen,-
verb,come,-,kommen,kam,ist gekommen,-
verb,go,-,gehen,ging,ist gegangen,-
verb,eat,-,essen,aß,hat gegessen,-
verb,have,-,haben,hatte,hat gehabt,-
verb,see,-,sehen,sah,hat gesehen,-
verb,come,-,kommen,kam,ist gekommen,-
verb,go,-,gehen,ging,ist gegangen,-
verb,eat,-,essen,aß,hat gegessen,-
verb,have,-,haben,hatte,hat gehabt,-
verb,see,-,sehen,sah,hat gesehen,-
verb,come,-,kommen,kam,ist gekommen,-
verb,go,-,gehen,ging,ist gegangen,-
verb,eat,-,essen,aß,hat gegessen,-
verb,have,-,haben,hatte,hat gehabt,-
verb,see,-,sehen,sah,hat gesehen,-
verb,come,-,kommen,kam,ist gekommen,-
verb,go,-,gehen,ging,ist gegangen,-
verb,eat,-,essen,aß,hat gegessen,-
verb,have,-,haben,hatte,hat gehabt,-
verb,see,-,sehen,sah,hat gesehen,-
verb,come,-,kommen,kam,ist gekommen,-
verb,go,-,gehen,ging,ist gegangen,-
verb,eat,-,essen,aß,hat gegessen,-
verb,have,-,haben,hatte,hat gehabt,-
verb,see,-,sehen,sah,hat gesehen,-
verb,come,-,kommen,kam,ist gekommen,-
verb,go,-,gehen,ging,ist gegangen,-
verb,eat,-,essen,aß,hat gegessen,-
verb,have,-,haben,hatte,hat gehabt,-
verb,see,-,sehen,sah,hat gesehen,-
verb,come,-,kommen,kam,ist gekommen,-
verb,go,-,gehen,ging,ist gegangen,-
verb,eat,-,essen,aß,hat gegessen,-
verb,have,-,haben,hatte,hat gehabt,-
verb,see,-,sehen,sah,hat gesehen,-
verb,come,-,kommen,kam,ist gekommen,-
verb,go,-,gehen,ging,ist gegangen,-
verb,eat,-,essen,aß,hat gegessen,-
verb,have,-,haben,hatte,hat gehabt,-
verb,see,-,sehen,sah,hat gesehen,-
verb,come,-,kommen,kam,ist gekommen,-
verb,go,-,gehen,ging,ist gegangen,-
verb,eat,-,essen,aß,hat gegessen,-
verb,have,-,haben,hatte,hat gehabt,-
verb,see,-,sehen,sah,hat gesehen,-
verb,come,-,kommen,kam,ist gekommen,-
verb,go,-,gehen,ging,ist gegangen,-
verb,eat,-,essen,aß,hat gegessen,-
verb,have,-,haben,hatte,hat gehabt,-
verb,see,-,sehen,sah,hat gesehen,-
verb,come,-,kommen,kam,ist gekommen,-
verb,go,-,gehen,ging,ist gegangen,-
verb,eat,-,essen,aß,hat gegessen,-
verb,have,-,haben,hatte,hat gehabt,-
verb,see,-,sehen,sah,hat gesehen,-
verb,come,-,kommen,kam,ist gekommen,-
verb,go,-,gehen,ging,ist gegangen,-
verb,eat,-,essen,aß,hat gegessen,-
verb,have,-,haben,hatte,hat gehabt,-
verb,see,-,sehen,sah,hat gesehen,-
verb,come,-,kommen,kam,ist gekommen,-
verb,go,-,gehen,ging,ist gegangen,-
verb,eat,-,essen,aß,hat gegessen,-
verb,have,-,haben,hatte,hat gehabt,-
verb,see,-,sehen,sah,hat gesehen,-
verb,come,-,kommen,kam,ist gekommen,-
verb,go,-,gehen,ging,ist gegangen,-
verb,eat,-,essen,aß,hat gegessen,-
verb,have,-,haben,hatte,hat gehabt,-
verb,see,-,sehen,sah,hat gesehen,-
verb,come,-,kommen,kam,ist gekommen,-
verb,go,-,gehen,ging,ist gegangen,-
verb,eat,-,essen,aß,hat gegessen,-
verb,have,-,haben,hatte,hat gehabt,-
verb,see,-,sehen,sah,hat gesehen,-
verb,come,-,kommen,kam,ist gekommen,-
verb,go,-,gehen,ging,ist gegangen,-
verb,eat,-,essen,aß,hat gegessen,-
verb,have,-,haben,hatte,hat gehabt,-
verb,see,-,sehen,sah,hat gesehen,-
verb,come,-,kommen,kam,ist gekommen,-
verb,go,-,gehen,ging,ist gegangen,-
verb,eat,-,essen,aß,hat gegessen,-
verb,have,-,haben,hatte,hat gehabt,-
verb,see,-,sehen,sah,hat gesehen,-
verb,come,-,kommen,kam,ist gekommen,-
verb,go,-,gehen,ging,ist gegangen,-
verb,eat,-,essen,aß,hat gegessen,-
verb,have,-,haben,hatte,hat gehabt,-
verb,see,-,sehen,sah,hat gesehen,-
verb,come,-,kommen,kam,ist gekommen,-
verb,go,-,gehen,ging,ist gegangen,-
verb,eat,-,essen,aß,hat gegessen,-
verb,have,-,haben,hatte,hat gehabt,-
verb,see,-,sehen,sah,hat gesehen,-
verb,come,-,kommen,kam,ist gekommen,-
verb,go,-,gehen,ging,ist gegangen,-
verb,eat,-,essen,aß,hat gegessen,-
verb,have,-,haben,hatte,hat gehabt,-
verb,see,-,sehen,sah,hat gesehen,-
verb,come,-,kommen,kam,ist gekommen,-
verb,go,-,gehen,ging,ist gegangen,-
verb,eat,-,essen,aß,hat gegessen,-
verb,have,-,haben,hatte,hat gehabt,-
verb,see,-,sehen,sah,hat gesehen,-
verb,come,-,kommen,kam,ist gekommen,-
adjective,big,-,groß,-,-,-
adjective,small,-,klein,-,-,-
adjective,beautiful,-,schön,-,-,-
adjective,old,-,alt,-,-,-
adjective,new,-,neu,-,-,-
adjective,big,-,groß,-,-,-
adjective,small,-,klein,-,-,-
adjective,beautiful,-,schön,-,-,-
adjective,old,-,alt,-,-,-
adjective,new,-,neu,-,-,-
adjective,big,-,groß,-,-,-
adjective,small,-,klein,-,-,-
adjective,beautiful,-,schön,-,-,-
adjective,old,-,alt,-,-,-
adjective,new,-,neu,-,-,-
adjective,big,-,groß,-,-,-
adjective,small,-,klein,-,-,-
adjective,beautiful,-,schön,-,-,-
adjective,old,-,alt,-,-,-
adjective,new,-,neu,-,-,-
adjective,big,-,groß,-,-,-
adjective,small,-,klein,-,-,-
adjective,beautiful,-,schön,-,-,-
adjective,old,-,alt,-,-,-
adjective,new,-,neu,-,-,-
adjective,big,-,groß,-,-,-
adjective,small,-,klein,-,-,-
adjective,beautiful,-,schön,-,-,-
adjective,old,-,alt,-,-,-
adjective,new,-,neu,-,-,-
adjective,big,-,groß,-,-,-
adjective,small,-,klein,-,-,-
adjective,beautiful,-,schön,-,-,-
adjective,old,-,alt,-,-,-
adjective,new,-,neu,-,-,-
adjective,big,-,groß,-,-,-
adjective,small,-,klein,-,-,-
adjective,beautiful,-,schön,-,-,-
adjective,old,-,alt,-,-,-
adjective,new,-,neu,-,-,-
adjective,big,-,groß,-,-,-
adjective,small,-,klein,-,-,-
adjective,beautiful,-,schön,-,-,-
adjective,old,-,alt,-,-,-
adjective,new,-,neu,-,-,-
adjective,big,-,groß,-,-,-
adjective,small,-,klein,-,-,-
adjective,beautiful,-,schön,-,-,-
adjective,old,-,alt,-,-,-
adjective,new,-,neu,-,-,-
adjective,big,-,groß,-,-,-
adjective,small,-,klein,-,-,-
adjective,beautiful,-,schön,-,-,-
adjective,old,-,alt,-,-,-
adjective,new,-,neu,-,-,-
adjective,big,-,groß,-,-,-
adjective,small,-,klein,-,-,-
adjective,beautiful,-,schön,-,-,-
adjective,old,-,alt,-,-,-
adjective,new,-,neu,-,-,-
adjective,big,-,groß,-,-,-
adjective,small,-,klein,-,-,-
adjective,beautiful,-,schön,-,-,-
adjective,old,-,alt,-,-,-
adjective,new,-,neu,-,-,-
adjective,big,-,groß,-,-,-
adjective,small,-,klein,-,-,-
adjective,beautiful,-,schön,-,-,-
adjective,old,-,alt,-,-,-
adjective,new,-,neu,-,-,-
adjective,big,-,groß,-,-,-
adjective,small,-,klein,-,-,-
adjective,beautiful,-,schön,-,-,-
adjective,old,-,alt,-,-,-
adjective,new,-,neu,-,-,-
adjective,big,-,groß,-,-,-
adjective,small,-,klein,-,-,-
adjective,beautiful,-,schön,-,-,-
adjective,old,-,alt,-,-,-
adjective,new,-,neu,-,-,-
adjective,big,-,groß,-,-,-
adjective,small,-,klein,-,-,-
adjective,beautiful,-,schön,-,-,-
adjective,old,-,alt,-,-,-
adjective,new,-,neu,-,-,-
adjective,big,-,groß,-,-,-
adjective,small,-,klein,-,-,-
adjective,beautiful,-,schön,-,-,-
adjective,old,-,alt,-,-,-
adjective,new,-,neu,-,-,-
adjective,big,-,groß,-,-,-
adjective,small,-,klein,-,-,-
adjective,beautiful,-,schön,-,-,-
adjective,old,-,alt,-,-,-
adjective,new,-,neu,-,-,-
adjective,big,-,groß,-,-,-
adjective,small,-,klein,-,-,-
adjective,beautiful,-,schön,-,-,-
adjective,old,-,alt,-,-,-
adjective,new,-,neu,-,-,-
adjective,big,-,groß,-,-,-
adjective,small,-,klein,-,-,-
adjective,beautiful,-,schön,-,-,-
adjective,old,-,alt,-,-,-
adjective,new,-,neu,-,-,-
adjective,big,-,groß,-,-,-
adjective,small,-,klein,-,-,-
adjective,beautiful,-,schön,-,-,-
adjective,old,-,alt,-,-,-
adjective,new,-,neu,-,-,-
adjective,big,-,groß,-,-,-
adjective,small,-,klein,-,-,-
adjective,beautiful,-,schön,-,-,-
adjective,old,-,alt,-,-,-
adjective,new,-,neu,-,-,-
adjective,big,-,groß,-,-,-
adjective,small,-,klein,-,-,-
adjective,beautiful,-,schön,-,-,-
adjective,old,-,alt,-,-,-
adjective,new,-,neu,-,-,-
adjective,big,-,groß,-,-,-
adjective,small,-,klein,-,-,-
adjective,beautiful,-,schön,-,-,-
adjective,old,-,alt,-,-,-
adjective,new,-,neu,-,-,-
adverb,quickly,-,schnell,-,-,-
adverb,slowly,-,langsam,-,-,-
adverb,yesterday,-,gestern,-,-,-
adverb,today,-,heute,-,-,-
adverb,soon,-,bald,-,-,-
adverb,quickly,-,schnell,-,-,-
adverb,slowly,-,langsam,-,-,-
adverb,yesterday,-,gestern,-,-,-
adverb,today,-,heute,-,-,-
adverb,soon,-,bald,-,-,-
adverb,quickly,-,schnell,-,-,-
adverb,slowly,-,langsam,-,-,-
adverb,yesterday,-,gestern,-,-,-
adverb,today,-,heute,-,-,-
adverb,soon,-,bald,-,-,-
adverb,quickly,-,schnell,-,-,-
adverb,slowly,-,langsam,-,-,-
adverb,yesterday,-,gestern,-,-,-
adverb,today,-,heute,-,-,-
adverb,soon,-,bald,-,-,-
adverb,quickly,-,schnell,-,-,-
adverb,slowly,-,langsam,-,-,-
adverb,yesterday,-,gestern,-,-,-
adverb,today,-,heute,-,-,-
adverb,soon,-,bald,-,-,-
adverb,quickly,-,schnell,-,-,-
adverb,slowly,-,langsam,-,-,-
adverb,yesterday,-,gestern,-,-,-
adverb,today,-,heute,-,-,-
adverb,soon,-,bald,-,-,-
adverb,quickly,-,schnell,-,-,-
adverb,slowly,-,langsam,-,-,-
adverb,yesterday,-,gestern,-,-,-
adverb,today,-,heute,-,-,-
adverb,soon,-,bald,-,-,-
adverb,quickly,-,schnell,-,-,-
adverb,slowly,-,langsam,-,-,-
adverb,yesterday,-,gestern,-,-,-
adverb,today,-,heute,-,-,-
adverb,soon,-,bald,-,-,-
adverb,quickly,-,schnell,-,-,-
adverb,slowly,-,langsam,-,-,-
adverb,yesterday,-,gestern,-,-,-
adverb,today,-,heute,-,-,-
adverb,soon,-,bald,-,-,-
adverb,quickly,-,schnell,-,-,-
adverb,slowly,-,langsam,-,-,-
adverb,yesterday,-,gestern,-,-,-
adverb,today,-,heute,-,-,-
adverb,soon,-,bald,-,-,-
adverb,quickly,-,schnell,-,-,-
adverb,slowly,-,langsam,-,-,-
adverb,yesterday,-,gestern,-,-,-
adverb,today,-,heute,-,-,-
adverb,soon,-,bald,-,-,-
adverb,quickly,-,schnell,-,-,-
adverb,slowly,-,langsam,-,-,-
adverb,yesterday,-,gestern,-,-,-
adverb,today,-,heute,-,-,-
adverb,soon,-,bald,-,-,-
adverb,quickly,-,schnell,-,-,-
adverb,slowly,-,langsam,-,-,-
adverb,yesterday,-,gestern,-,-,-
adverb,today,-,heute,-,-,-
adverb,soon,-,bald,-,-,-
adverb,quickly,-,schnell,-,-,-
adverb,slowly,-,langsam,-,-,-
adverb,yesterday,-,gestern,-,-,-
adverb,today,-,heute,-,-,-
adverb,soon,-,bald,-,-,-
adverb,quickly,-,schnell,-,-,-
adverb,slowly,-,langsam,-,-,-
adverb,yesterday,-,gestern,-,-,-
adverb,today,-,heute,-,-,-
adverb,soon,-,bald,-,-,-
adverb,quickly,-,schnell,-,-,-
adverb,slowly,-,langsam,-,-,-
adverb,yesterday,-,gestern,-,-,-
adverb,today,-,heute,-,-,-
adverb,soon,-,bald,-,-,-
adverb,quickly,-,schnell,-,-,-
adverb,slowly,-,langsam,-,-,-
adverb,yesterday,-,gestern,-,-,-
adverb,today,-,heute,-,-,-
adverb,soon,-,bald,-,-,-
adverb,quickly,-,schnell,-,-,-
adverb,slowly,-,langsam,-,-,-
adverb,yesterday,-,gestern,-,-,-
adverb,today,-,heute,-,-,-
adverb,soon,-,bald,-,-,-
adverb,quickly,-,schnell,-,-,-
adverb,slowly,-,langsam,-,-,-
adverb,yesterday,-,gestern,-,-,-
adverb,today,-,heute,-,-,-
adverb,soon,-,bald,-,-,-
adverb,quickly,-,schnell,-,-,-
adverb,slowly,-,langsam,-,-,-
adverb,yesterday,-,gestern,-,-,-
adverb,today,-,heute,-,-,-
adverb,soon,-,bald,-,-,-
adverb,quickly,-,schnell,-,-,-
adverb,slowly,-,langsam,-,-,-
adverb,yesterday,-,gestern,-,-,-
adverb,today,-,heute,-,-,-
adverb,soon,-,bald,-,-,-
adverb,quickly,-,schnell,-,-,-
adverb,slowly,-,langsam,-,-,-
adverb,yesterday,-,gestern,-,-,-
adverb,today,-,heute,-,-,-
adverb,soon,-,bald,-,-,-
adverb,quickly,-,schnell,-,-,-
adverb,slowly,-,langsam,-,-,-
adverb,yesterday,-,gestern,-,-,-
adverb,today,-,heute,-,-,-
adverb,soon,-,bald,-,-,-
adverb,quickly,-,schnell,-,-,-
adverb,slowly,-,langsam,-,-,-
adverb,yesterday,-,gestern,-,-,-
adverb,today,-,heute,-,-,-
adverb,soon,-,bald,-,-,-
adverb,quickly,-,schnell,-,-,-
adverb,slowly,-,langsam,-,-,-
adverb,yesterday,-,gestern,-,-,-
adverb,today,-,heute,-,-,-
adverb,soon,-,bald,-,-,-
pronoun,I,-,ich,-,-,-
pronoun,you,-,du,-,-,-
pronoun,he,-,er,-,-,-
pronoun,she,-,sie,-,-,-
pronoun,we,-,wir,-,-,-
pronoun,I,-,ich,-,-,-
pronoun,you,-,du,-,-,-
pronoun,he,-,er,-,-,-
pronoun,she,-,sie,-,-,-
pronoun,we,-,wir,-,-,-
pronoun,I,-,ich,-,-,-
pronoun,you,-,du,-,-,-
pronoun,he,-,er,-,-,-
pronoun,she,-,sie,-,-,-
pronoun,we,-,wir,-,-,-
pronoun,I,-,ich,-,-,-
pronoun,you,-,du,-,-,-
pronoun,he,-,er,-,-,-
pronoun,she,-,sie,-,-,-
pronoun,we,-,wir,-,-,-
pronoun,I,-,ich,-,-,-
pronoun,you,-,du,-,-,-
pronoun,he,-,er,-,-,-
pronoun,she,-,sie,-,-,-
pronoun,we,-,wir,-,-,-
pronoun,I,-,ich,-,-,-
pronoun,you,-,du,-,-,-
pronoun,he,-,er,-,-,-
pronoun,she,-,sie,-,-,-
pronoun,we,-,wir,-,-,-
pronoun,I,-,ich,-,-,-
pronoun,you,-,du,-,-,-
pronoun,he,-,er,-,-,-
pronoun,she,-,sie,-,-,-
pronoun,we,-,wir,-,-,-
pronoun,I,-,ich,-,-,-
pronoun,you,-,du,-,-,-
pronoun,he,-,er,-,-,-
pronoun,she,-,sie,-,-,-
pronoun,we,-,wir,-,-,-
pronoun,I,-,ich,-,-,-
pronoun,you,-,du,-,-,-
pronoun,he,-,er,-,-,-
pronoun,she,-,sie,-,-,-
pronoun,we,-,wir,-,-,-
pronoun,I,-,ich,-,-,-
pronoun,you,-,du,-,-,-
pronoun,he,-,er,-,-,-
pronoun,she,-,sie,-,-,-
pronoun,we,-,wir,-,-,-
pronoun,I,-,ich,-,-,-
pronoun,you,-,du,-,-,-
pronoun,he,-,er,-,-,-
pronoun,she,-,sie,-,-,-
pronoun,we,-,wir,-,-,-
pronoun,I,-,ich,-,-,-
pronoun,you,-,du,-,-,-
pronoun,he,-,er,-,-,-
pronoun,she,-,sie,-,-,-
pronoun,we,-,wir,-,-,-
pronoun,I,-,ich,-,-,-
pronoun,you,-,du,-,-,-
pronoun,he,-,er,-,-,-
pronoun,she,-,sie,-,-,-
pronoun,we,-,wir,-,-,-
pronoun,I,-,ich,-,-,-
pronoun,you,-,du,-,-,-
pronoun,he,-,er,-,-,-
pronoun,she,-,sie,-,-,-
pronoun,we,-,wir,-,-,-
pronoun,I,-,ich,-,-,-
pronoun,you,-,du,-,-,-
pronoun,he,-,er,-,-,-
pronoun,she,-,sie,-,-,-
pronoun,we,-,wir,-,-,-
pronoun,I,-,ich,-,-,-
pronoun,you,-,du,-,-,-
pronoun,he,-,er,-,-,-
pronoun,she,-,sie,-,-,-
pronoun,we,-,wir,-,-,-
pronoun,I,-,ich,-,-,-
pronoun,you,-,du,-,-,-
pronoun,he,-,er,-,-,-
pronoun,she,-,sie,-,-,-
pronoun,we,-,wir,-,-,-
pronoun,I,-,ich,-,-,-
pronoun,you,-,du,-,-,-
pronoun,he,-,er,-,-,-
pronoun,she,-,sie,-,-,-
pronoun,we,-,wir,-,-,-
pronoun,I,-,ich,-,-,-
pronoun,you,-,du,-,-,-
pronoun,he,-,er,-,-,-
pronoun,she,-,sie,-,-,-
pronoun,we,-,wir,-,-,-
pronoun,I,-,ich,-,-,-
pronoun,you,-,du,-,-,-
pronoun,he,-,er,-,-,-
pronoun,she,-,sie,-,-,-
pronoun,we,-,wir,-,-,-
pronoun,I,-,ich,-,-,-
pronoun,you,-,du,-,-,-
pronoun,he,-,er,-,-,-
pronoun,she,-,sie,-,-,-
pronoun,we,-,wir,-,-,-
pronoun,I,-,ich,-,-,-
pronoun,you,-,du,-,-,-
pronoun,he,-,er,-,-,-
pronoun,she,-,sie,-,-,-
pronoun,we,-,wir,-,-,-
pronoun,I,-,ich,-,-,-
pronoun,you,-,du,-,-,-
pronoun,he,-,er,-,-,-
pronoun,she,-,sie,-,-,-
pronoun,we,-,wir,-,-,-
pronoun,I,-,ich,-,-,-
pronoun,you,-,du,-,-,-
pronoun,he,-,er,-,-,-
pronoun,she,-,sie,-,-,-
pronoun,we,-,wir,-,-,-
pronoun,I,-,ich,-,-,-
pronoun,you,-,du,-,-,-
pronoun,he,-,er,-,-,-
pronoun,she,-,sie,-,-,-
pronoun,we,-,wir,-,-,-
preposition,on,-,auf,-,-,-
preposition,under,-,unter,-,-,-
preposition,with,-,mit,-,-,-
preposition,without,-,ohne,-,-,-
preposition,for,-,für,-,-,-
preposition,on,-,auf,-,-,-
preposition,under,-,unter,-,-,-
preposition,with,-,mit,-,-,-
preposition,without,-,ohne,-,-,-
preposition,for,-,für,-,-,-
preposition,on,-,auf,-,-,-
preposition,under,-,unter,-,-,-
preposition,with,-,mit,-,-,-
preposition,without,-,ohne,-,-,-
preposition,for,-,für,-,-,-
preposition,on,-,auf,-,-,-
preposition,under,-,unter,-,-,-
preposition,with,-,mit,-,-,-
preposition,without,-,ohne,-,-,-
preposition,for,-,für,-,-,-
preposition,on,-,auf,-,-,-
preposition,under,-,unter,-,-,-
preposition,with,-,mit,-,-,-
preposition,without,-,ohne,-,-,-
preposition,for,-,für,-,-,-
preposition,on,-,auf,-,-,-
preposition,under,-,unter,-,-,-
preposition,with,-,mit,-,-,-
preposition,without,-,ohne,-,-,-
preposition,for,-,für,-,-,-
preposition,on,-,auf,-,-,-
preposition,under,-,unter,-,-,-
preposition,with,-,mit,-,-,-
preposition,without,-,ohne,-,-,-
preposition,for,-,für,-,-,-
preposition,on,-,auf,-,-,-
preposition,under,-,unter,-,-,-
preposition,with,-,mit,-,-,-
preposition,without,-,ohne,-,-,-
preposition,for,-,für,-,-,-
preposition,on,-,auf,-,-,-
preposition,under,-,unter,-,-,-
preposition,with,-,mit,-,-,-
preposition,without,-,ohne,-,-,-
preposition,for,-,für,-,-,-
preposition,on,-,auf,-,-,-
preposition,under,-,unter,-,-,-
preposition,with,-,mit,-,-,-
preposition,without,-,ohne,-,-,-
preposition,for,-,für,-,-,-
preposition,on,-,auf,-,-,-
preposition,under,-,unter,-,-,-
preposition,with,-,mit,-,-,-
preposition,without,-,ohne,-,-,-
preposition,for,-,für,-,-,-
preposition,on,-,auf,-,-,-
preposition,under,-,unter,-,-,-
preposition,with,-,mit,-,-,-
preposition,without,-,ohne,-,-,-
preposition,for,-,für,-,-,-
preposition,on,-,auf,-,-,-
preposition,under,-,unter,-,-,-
preposition,with,-,mit,-,-,-
preposition,without,-,ohne,-,-,-
preposition,for,-,für,-,-,-
preposition,on,-,auf,-,-,-
preposition,under,-,unter,-,-,-
preposition,with,-,mit,-,-,-
preposition,without,-,ohne,-,-,-
preposition,for,-,für,-,-,-
preposition,on,-,auf,-,-,-
preposition,under,-,unter,-,-,-
preposition,with,-,mit,-,-,-
preposition,without,-,ohne,-,-,-
preposition,for,-,für,-,-,-
preposition,on,-,auf,-,-,-
preposition,under,-,unter,-,-,-
preposition,with,-,mit,-,-,-
preposition,without,-,ohne,-,-,-
preposition,for,-,für,-,-,-
preposition,on,-,auf,-,-,-
preposition,under,-,unter,-,-,-
preposition,with,-,mit,-,-,-
preposition,without,-,ohne,-,-,-
preposition,for,-,für,-,-,-
preposition,on,-,auf,-,-,-
preposition,under,-,unter,-,-,-
preposition,with,-,mit,-,-,-
preposition,without,-,ohne,-,-,-
preposition,for,-,für,-,-,-
preposition,on,-,auf,-,-,-
preposition,under,-,unter,-,-,-
preposition,with,-,mit,-,-,-
preposition,without,-,ohne,-,-,-
